Error_v1,Error_v2
9.9866366413,2.0000312717
9.9739655712,2.0000474912
9.9588494379,2.0000709326
9.9456283242,2.0000942324
9.9333959764,2.0001291746
9.9189671935,2.0001624176
9.9039988082,2.0002004656
9.8893677777,2.0002488204
9.874338875,2.000297973
9.8605494411,2.0003420401
9.845994574,2.0003909546
9.8319824021,2.0004387184
9.8221740437,2.0004369073
9.8073329417,2.0004686419
9.7978925319,2.0004693693
9.7852769303,2.0004579164
9.7732526839,2.0004261703
9.7594035399,2.0003981388
9.7452024771,2.0004124559
9.7317823407,2.0004558183
9.7191381113,2.0004834506
9.7085462891,2.0004958547
9.6940854958,2.0005489337
9.6847288619,2.0005529367
9.6712156952,2.0005449288
9.6561533109,2.000544641
9.6420902755,2.0005437931
9.6276460891,2.0005538379
9.616122519,2.0005419143
9.601174287,2.0005344031
9.5928149127,2.0004810712
9.5780414029,2.0004435901
9.5671918328,2.0004058392
9.5596864399,2.0003161706
9.5454742142,2.0002317243
9.5318230289,2.0001563247
9.5178976746,2.0000766399
9.5030392838,1.9999997759
9.4881439633,1.9999548744
9.4743817196,1.9998990492
9.459515763,1.9998886462
9.4494296898,1.9998601392
9.4347850756,1.9998432231
9.4201102447,1.9998274719
9.4053503863,1.9998103435
9.3903916427,1.9998080595
9.3759346159,1.9998050764
9.36154132,1.9998130527
9.3569652064,1.9997511927
9.3445104119,1.9996787962
9.3296105973,1.9996067982
9.3216268435,1.9995193194
9.3103077894,1.9994085775
9.2960388147,1.999305516
9.2869641098,1.9991613924
9.2738026315,1.9990219891
9.260129075,1.9988779545
9.2455923172,1.9987460802
9.2394366197,1.9985339373
9.2263784264,1.9983110805
9.2123402492,1.9981137825
9.2020597816,1.9978793281
9.1882305694,1.997636847
9.1802257818,1.9973665385
9.1659041546,1.9971004325
9.1524602907,1.9968288814
9.1429184473,1.9965242411
9.1307399676,1.9962122501
9.119893486,1.9958643208
9.1122357831,1.9955171276
9.1007329923,1.9951483141
9.0877457021,1.994772009
9.0733088181,1.9944140656
9.0594708014,1.9940783201
9.0458755938,1.9937583256
9.0346200604,1.9934107793
9.0250078392,1.9930220435
9.0138837502,1.9926480493
9.0026423613,1.9922596881
8.9882608296,1.9918892529
8.9778865516,1.9914977658
8.9657476206,1.9910857864
8.9510731876,1.9906880437
8.938807597,1.9903048524
8.9259272847,1.9899050224
8.9161412148,1.9895283282
8.9029597934,1.9891477537
8.8903462766,1.9887601924
8.8756602676,1.9883754285
8.861252726,1.9879978272
8.8480637231,1.9876105744
8.8338356657,1.9872347089
8.8229388558,1.9868839742
8.8119626132,1.986507374
8.8035726543,1.9860876997
8.7934174275,1.9856323043
8.7802927256,1.985221459
8.7664613579,1.9848257319
8.754719177,1.984403626
8.7410051909,1.9839859081
8.7269727691,1.9835754681
8.7130466272,1.9831803642
8.6993150696,1.9828261789
8.6862309545,1.9824819452
8.6738122244,1.9821214315
8.6707331668,1.9816608098
8.6568594152,1.981206371
8.6426184028,1.9808176317
8.6299280326,1.9804143718
8.6213764655,1.9799566144
8.6133689983,1.9794470037
8.6000643895,1.9789273013
8.5872508657,1.9784097011
8.5752678522,1.9778841138
8.5727007597,1.9772564182
8.5655927309,1.9765751416
8.5512158091,1.9759316247
8.5374071799,1.9753039096
8.5297999739,1.9746278663
8.5179111024,1.9739631802
8.509534208,1.9732893714
8.4977187976,1.9725940986
8.4858068173,1.9718944441
8.4718908982,1.9711907161
8.4609901298,1.9704577659
8.4481437355,1.9697568447
8.4339667676,1.9690670065
8.4210896639,1.9683882285
8.4093174607,1.9677150271
8.3996978965,1.9670179653
8.3894037882,1.966330659
8.3766884303,1.9656564049
8.3644414081,1.9649851865
8.3502026847,1.9643564239
8.3372289353,1.9637438332
8.3233416207,1.9631340909
8.3102499554,1.962570473
8.3028253889,1.9619518625
8.2939384477,1.9613269008
8.2853570195,1.960675623
8.2716928727,1.960027376
8.259427451,1.9593628583
8.2521184216,1.9586520447
8.2423519372,1.9579136955
8.2300488226,1.9571733293
8.2192288889,1.9564103453
